"The customer doesn't exist in the system anymore","Zákazník se již v systému nevyskytuje"
"(Absolute path or Relative to Magento install root, ex. var/export)","(Absolutní nebo relativní cesta ke kořenové instalaci Magento, např. var/export)"
"(For US 2-letter state names)","(Pro USA 2 znakové jméno státu)"
"(If left empty will be auto-generated)","(Pokud ponecháte prázdné bude vygenerován automaticky)"
"(Leave empty for first spreadsheet)","(Ponechte prázdné pro první sešit)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Produkt bude přidán/upraven do tohoto obchodu, pokud je sloupec prázdný nebo chybí v importním souboru.)"
"(Starting with)","(počínaje)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(Pokud 'Ne', budou importovány pouze přiřazená pole. Pokud přiřazujete pole použijte 'sloupec1', 'sloupec2', atd.)"
"(You have to increase php memory_limit before changing this value)","(You have to increase php memory_limit before changing this value)"
"(\\t for tab)","(\\t pro tabelátor)"
"-- Please Select --","-- Prosím vyberte --"
"-- Please select --","-- Prosím vyberte --"
"-- Please select a category --","-- Vyberte kategorii --"
"--Please Select--","-- Prosím vyberte --"
"1 Hour","1 hodina"
"12 Hours","12 hodin"
"2 Hours","2 hodiny"
"24 Hours","24 hodin"
"2YTD","Poslední 2 roky"
"6 Hours","6 hodin"
"<h1 class=""page-heading"">404 Error</h1><p>Page not found.</p>","<h1 class=""page-heading"">404 Error</h1><p>Stránka nenalezena.</p>"
"<h1 class=""page-heading"">Access denied</h1><p>Access denied.</p>","<h1 class=""page-heading"">Přístup zamítnut</h1><p>Přístup zamítnut.</p>"
"A new password was sent to your email address. Please check your email and click Back to Login.","Nové heslo bylo odesláno na Vaší emailovou adresu. Prosím zkontrolujte svůj email a klikněte zpět na přihlášení."
"API Stability","Stabilita API"
"API Version","Verze API"
"API:","API:"
"Access Denied.","Přístup zamítnut."
"Access Deny","Zamítnout přístup"
"Account Created in:","Účet vytvořen v:"
"Account Created on:","Účet vytvořen v:"
"Account Information","Informace o účtu"
"Account status","Stav účtu"
"Account successfully saved","Účet byl úspěšně uložen"
"Action","Událost"
"Actions","Volby"
"Actions XML","Volby XML"
"Active","Aktivní"
"Add","Přidat"
"Add Exception","Přidat výjimku"
"Add Field Mapping","Přidat pole mapování"
"Add New Image","Přidat nový obrázek"
"Add New Profile","Přidat nový profil"
"Add New Role","Přidat novou roli"
"Add New Template","Přidat novou šablonu"
"Add New Urlrewrite","Přidat nový přepis URL"
"Add New User","Přidat nového uživatele"
"Add Url Rewrite","Přidat nový přepis URL"
"Add after","Přidat po"
"Add new Role","Přidat novou roli"
"Address Type:","Typ adresy:"
"Admin","Admin"
"Advanced Profiles","Rozšířený profil"
"Aggregate Order","Objednávka"
"All","Vše"
"All Allowed Countries","Všechny dovolené země"
"All Files","Všechny soubory"
"All Store Views","Všechny Store Views"
"All Tags","Všechny štítky"
"All Websites","Všechny Websites"
"All countries","Všechny země"
"All fields","Všechna pole"
"All possible rates were fetched, click on ""Save"" to apply","Všechny možné sazby byly vykonány, pro potvrzení klikněte na ""Uložit"""
"All rates were fetched, click on ""Save"" to apply","Všechny sazby byly vykonány, pro potvrzení klikněte na ""Uložit"""
"All valid rates successfully saved","Všechny platné sazby byly úspěšně uloženy"
"Amounts","Množství"
"Any","Всі"
"Any Attribute Set","Libovolná kolekce atributů"
"Any Group","Libovolná skupina"
"Any Status","Libovolný stav"
"Any Store","Libovolný obchod"
"Any Type","Libovolný typ"
"Any Visibility","Libovolná viditelnost"
"Api Key","Api Key"
"Api Key Confirmation","Potvrzení klíče API"
"Archive file name:","Název zálohy:"
"Are you sure that you want to delete this template?","Jste si jisti, že chcete smazat tuto šablonu?"
"Are you sure that you want to strip tags?","Jste si jisti, že chcete odstranit štítky?"
"Are you sure you want to do this?","Jste si jisti, že chcete provést tuto akci?"
"Are you sure you wish to INSTALL all selected packages?","Jste si jisti, že chcete INSTALOVAT všechny označené balíčky?"
"Are you sure you wish to UNINSTALL all selected packages?","Jste si jisti, že chcete ODINSTALOVAT všechny označené balíčky?"
"Are you sure you wish to UPGRADE all selected packages?","Jste si jisti, že chcete AKTUALIZOVAT všechny označené balíčky?"
"Area","Oblast"
"Assigned","Přiřazený"
"Attribute Set Name:","Název kolekce atributů:"
"Attribute set successfully saved.","Kolekce atributů úspěšně uložena."
"Attribute set was successfully removed.","Kolekce atributů byla úspěšně odebrána."
"Available Version","Dostupná verze"
"Average Order Amount","Průměrné množství objednávek"
"Average Orders","Průměrná cena objednávky"
"Back","Zpět"
"Back to Login","Zpět na přihlášení"
"Back to local packages","Zpět na lokální balíčky"
"Backup","Záloha"
"Backup record was deleted","Záloha záznamu byla smazána"
"Backup successfully created","Záloha úspěšně vytvořena"
"Backups","Zálohy"
"Base currency","Základní měna"
"Bcc","Bcc"
"Bestsellers","Nejprodávanější zboží"
"Big Image","Velký obrázek"
"Billing Address","Fakturační adresa"
"Billing address","Fakturační adresa"
"Block Information","Informace o bloku"
"Both (without and with tax)","Obě (bez daně a s daní)"
"Browse Available Extensions","Procházet dostupná rozšíření"
"Browse Available Remote Extensions","Procházet dostupná vzdálená rozšíření"
"Browse Files...","Procházet soubory..."
"Bundle Items","Položky balení"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"CRITICAL","Kritický"
"CSV","CSV"
"CSV / Tab separated","CSV / Oddělená tabulka"
"Cache Management","Správa cache"
"Can not add new comment.","Nelze přidat nový komentář."
"Can not add tracking number.","Nelze přidat identifikační číslo."
"Can not delete tracking number.","Nelze smazat identifikační číslo."
"Can not do credit memo for order","Can not do credit memo for order"
"Can not do invoice for order","Can not do invoice for order"
"Can not do shipment for order.","Can not do shipment for order."
"Can not initialize shipment for adding tracking number.","Can not initialize shipment for adding tracking number."
"Can not initialize shipment for delete tracking number.","Can not initialize shipment for delete tracking number."
"Can not load track with retrieving identifier.","Can not load track with retrieving identifier."
"Can not retrieve tracking number detail.","Can not retrieve tracking number detail."
"Can not save credit memo","Can not save credit memo"
"Can not save invoice","Nelze uložit objednávku"
"Can not save shipment.","Nelze vyrobit zásilku."
"Can not send shipment information.","Nelze odeslat informace o zásilce."
"Can not update item qty","Nelze aktualizovat počet věcí"
"Can't delete design change","Nelze smazat změny v zobrazení"
"Can't find email address.","Nelze najít emailovou adresu."
"Card Verification Number","Ověřovací číslo karty (CCV)"
"Catalog","Katalog"
"Catalog Rewrites","Přepis katalogových URL"
"Catalog Rewrites was refreshed succesfuly","Přepis katalogových URL byl úspěšně aktualizován"
"Category","Kategorie"
"Changelog","Seznam změn"
"Channel","Kanál"
"Channel:","Kanál:"
"Checkbox","Zaškrtávací políčko"
"Choose Store View","Vyberte pohled na obchod"
"Choose an attribute","Vyberte vlastnost"
"Clear","Clear"
"Comment text field can not be empty.","Pole komentáře nemůže být prázdné"
"Comments History","Historie komentářů"
"Complete","Hotovo"
"Configuration","Konfigurace"
"Configuration successfully saved","Konfigurace úspěšně uložena"
"Confirmed email:","Potvrzení e-mailu:"
"Conflicts","Konflikty"
"Connect with the Magento Community","Spojení s komunitou Magento"
"Contents","Obsah"
"Convert to Plain Text","Převést na prostý text"
"Cookie (Unsafe)","Cookie (nebezpečné)"
"Country","Země"
"Country:","Země:"
"Coupon Code","Kód kupónu"
"Coupons","Kupóny"
"Create","Vytvořit"
"Create Extension Package","Vytvořit rozšiřující balíček"
"Create New Attribute","Vytvořit nový atribut"
"Create Urlrewrite for","Vytvořit přepis URL pro"
"Created At","Vytvořeno v"
"Credit Card Number","Číslo platební karty"
"Credit Card Number: xxxx-%s","Číslo platební karty: xxxx-%s"
"Credit Card Type","Druh platební karty"
"Credit Card Type: %s","Druh platební karty: %s"
"Credit Memo #%s comment added","Dobropis %s komentář přidán"
"Credit Memo #%s created","Dobropis #%s vytvořen"
"Credit Memo History","Historie dobropisu"
"Credit Memo Totals","Dobropisy celkem"
"Credit Memo cancel error.","Chyba při rušení dobropisu."
"Credit Memo total must be positive.","Dobropis musí být kladný."
"Credit Memo void error","Chyba, prázdný dobropis"
"Credit Memo was successfully canceled.","Dobropis byl úspěšně zrušen."
"Credit Memo was successfully created","Dobropis byl úspěšně vytvořen"
"Credit Memo was successfully voided","Dobropis byl úspěšně vynulován"
"Currency","Měna"
"Currency Information","Informace o měně"
"Current Configuration Scope:","Aktuální rozsah nastavení:"
"Current Release Information","Aktuální informace o vydání"
"Custom","Uživatelský"
"Customer","Zákazník"
"Customer Group:","Skupina zákazníků:"
"Customer Name","Jméno zákazníka"
"Customer Since:","Zákazníkem od:"
"Customer was deleted","Zákazník byl smazán"
"Customer was successfully saved","Zákazník byl úspěšně uložen"
"Customer with the same email already exists.","Zákazník s tímto emailem již existuje."
"Customers","Zákazníci"
"Dashboard","Nástěnka"
"Data Format","Formát dat"
"Data transfer:","Přenos dat:"
"Date","Datum"
"Date & Time","Datum a čas"
"Date Added","Přidáno datum"
"Date Updated","Datum upraveno"
"Date selector","Výběr data"
"Date:","Datum:"
"Decimal separator:","Oddělovač desetinného místa:"
"Default (Admin) Values","Výchozí (Admin) hodnota"
"Default Config","Výchozí nastavení"
"Default Template from Locale","Výchozí šablona z překladu"
