"# of Use","počet použití"
"%s Item(s)","položek: %s"
"(Copy data from: %s)","(Kopírovat data z: %s)"
"(Will make search for the query above return results for this search.)","(Vyhledat mezi výsledky vrácenými tímto hledáním.)"
"-- Please Select --","-- Prosím vyberte --"
"A name is required","Je požadováno jméno"
"ALL GROUPS","VŠECHNY SKUPINY"
"Action","Událost"
"Add Attribute","Přidat vlastnost"
"Add Design Change","Přidat změnu vzhledu"
"Add Group","Přidat skupinu"
"Add Items to Cart","Přidat položky do košíku"
"Add New","Přidat nové"
"Add New Attribute","Přidat nový atribut"
"Add New Attribute Set","Přidat novou kolekci atributů"
"Add New Group","Přidat novou skupinu"
"Add New Images","Přidat nové obrázky"
"Add New Option","Přidat novou možnost"
"Add New Row","Přidat nový řádek"
"Add New Search Term","Přidat nový výraz hledání"
"Add New Set","Přidat novou kolekci"
"Add Option","Přidat možnost"
"Add Product","Přidat produkt"
"Add Product To Websites","Přidat produkt na website"
"Add Tier","Přidat množstevní slevu"
"Add to Cart","Přidat do košíku"
"Add to Compare","Přidat do srovnání"
"Add to My Wishlist","Přidat do knihy přání"
"Add to Wishlist","Přidat do knihy přání"
"Additional Information","Další informace"
"All","Vše"
"All Product Types","Všechny typy produktů"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","Všechny produkty z této kolekce budou smazány! Jste si jisti, že chcete opravdu smazat tuto kolekci atributů?"
"Apply To","Použít na"
"Apply To Configurable/Grouped Product","Použít na nastavitelný/sloučený produkt"
"Approved","Schválený"
"Are you sure you want to delete this category?","Jste si jisti, že chcete smazat tuto kategorii?"
"Are you sure you would like to remove all item from compare products?","Jste si jisti, že chcete odebrat všechny položky z porovnávaných produktů?"
"Are you sure you would like to remove this item from the compare products?","Jste si jisti, že chcete odebrat tuto položku z porovnávaných produktů?"
"Are you sure?","Jste si jisti?"
"As low as:","Nejméně:"
"Assign","Přiřadit"
"Assign product link","Přiřadit link produktu"
"Assign product to category","Přiradit produkt do kategorie"
"Assigned Products","Přiřazené produkty"
"Associated Products","Související produkty"
"Attrib. Set Name","Kolekce atributů"
"Attribute Code","Vlastnosti kódu"
"Attribute Information","Informace o atributu"
"Attribute Label","Nadpis atributu"
"Attribute Model","Model atributu"
"Attribute Name:","Název atributu:"
"Attribute Properties","Vlastnosti atributu"
"Attribute Set","Kolekce atributu"
"Attribute model not defined","Vlastnost modelu není definována"
"Attribute with the same code already exists","Atribut s tímto kódem již existuje"
"Attributes","Atributy"
"Attrribute names can be specified per store.","Názvy atributů mohou být specifikovány v každém obchodě."
"Autogenerate","Vygenerovat automaticky"
"Availability:","Dostupnost:"
"Availability: In stock.","Dostupnost: Na skladě."
"Availability: Out of stock.","Dostupnost: Není skladem."
"Back","Zpět"
"Backend Model","Backend Model"
"Backend Table","Backend Table"
"Backend Table Title","Backend Table Title"
"Backorders","Zpětné objednávky"
"Base directory to upload image file is not specified","Není specifikován výchozí adresář pro nahrávání obrázků"
"Based On","Založeno na"
"Best Value","Nejlepší hodnota"
"Block after Info Column","Block after Info Column"
"Bottom/Left","Dole/vlevo"
"Bottom/Right","Dole/vpravo"
"Browse By","Procházet podle"
"Buy %1$s for %2$s (%3$s incl. tax) each","Koupit %1$s za %2$s (%3$s s daní) kus"
"Buy %1$s for %2$s each","Koupit %1$s za %2$s kus"
"Buy %s for %s","Kupte %s za %s"
"Buy %s for %s each","Koupit %s za <strong>%s kus</strong>"
"Can be used only with catalog input type Dropdown","Může být použito pouze s katalogovým vstupem typu ""rozbalovací menu"""
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Může být použito pouze s katalogovým vstupem typu rozbalovací menu, Vícenásobný výběr a Cena"
"Can't create image.","Není možno vytvořit obrázek."
"Cart Item Attribute","Atributy položky košíku"
"Catalog","Katalog"
"Catalog Input Type for Store Owner","Vstupní typ pro vlastníka obchodu"
"Catalog Inventory","Sklad"
"Catalog Price Scope","Rozsah katalogových cen"
"Catalog, Search","Katalogu, Vyhledávání"
"Categories","Kategorie"
"Categories Sitemap","Mapa kategorií"
"Category","Kategorie"
"Category API","API kategorií"
"Category Data","Data kategorie"
"Category Navigation:","Podle kategorií:"
"Category Products","Kategorie Produktů"
"Category Top Navigation","Navigace kategorií"
"Category URL Suffix","Kategorie URL přípon"
"Category attributes API","API vlastností kategorií"
"Category delete error","Chyba při mazání kategorie"
"Category deleted","Kategorie smazána"
"Category move error","Chyba při presunu kategorie"
"Category saved","Kategorie uložena"
"Change","Změna"
"Change status","Stav změněn"
"Check items to add to the cart or ","Vybrat položku pro přidání do košíku, nebo"
"Choose an Option...","Vyberte možnost..."
"Choose option...","Vyberte možnost..."
"Clear All","Vymazat vše"
"Clear All Items","Odstranit všechny položky."
"Close Window","Zavřít okno"
"Comparable","Porovnatelný"
"Comparable on Front-end","Porovnatelný na Frontendu"
"Compare","Porovnat"
"Compare Items","Porovnat položky"
"Compare Products","Porovnat produkty"
"Compare Products - %d Items","Srovnání produktů <span class=""count"">- položek: %d</span>"
"Compare Products List","Seznam porovnávaných produktů"
"Compare list successfully cleared","Seznam porovnání byl úspěšně vyčištěn"
"Conditions Combination","Kombinace podmínek"
