"%s and greater","%s a více"
"Advanced Search","Pokročilé vyhledávání"
"All","Vše"
"Autogenerated site map","Automaticky vytvořit mapu stránek"
"Catalog Advanced Search","Pokročilé hledání v katalogu"
"Go to Home Page","Na hlavní stránku"
"Grid","Tabulka"
"Home","Domů"
"List","Seznam"
"Name","Jméno"
No,Ne
"Popular Search Terms","Často hledané výrazy"
"Popular search terms","Často hledané výrazy"
"Price","Cena"
"Required Fields","Povinné položky"
"Results","Výsledky"
"Search","Hledání"
"Search Settings","Nastavení hledání"
"Search Site","Prohledat web"
"Search Terms","Hledané výrazy"
"Search entire store here...","Rychle najít..."
"Search results for '%s'","Výsledky hledání pro '%s'"
"Search results for: '%s'","Výsledky hledání pro: '%s'"
"There are no search terms available.","Žádné dostupné vyhledávané termíny."
Yes,Ano
"You have to specify at least one search term","Musíte definovat alespoň jeden vyhledávaný termín"
Your search returns no results.,Nebyly nalezeny žádné výsledky.
"up to %s","do %s"
