"%s already exist","%s již existuje"
"%s already exists","%s již existují"
"-- Please Select --","-- Prosím vyberte --"
"Add Block Names to Hints","Přidat jméno bloků do nápovědy"
"Add Store Code to Urls","Přidat kód obchodu do URL"
"Admin","Admin"
"Admin Base URL","Výchozí URL pro administraci"
"Admin User Emails","E-maily administrátorů"
"Advanced","Rozšířené"
"Allow countries","Dovolené země"
"Allowed IPs (comma separated)","Povolené IP (oddělené čárkou)"
"Are you sure?","Jste si jisti?"
"Back","Zpět"
"Base JavaScript URL","Výchozí URL JavaScriptu"
"Base Link URL","Výchozí URL pro odkazy"
"Base Media URL","Výchozí URL pro média"
"Base Skin URL","Výchozí URL pro vzhled"
"Base URL","Výchozí URL"
"Before modifying the store view code please make sure that it is not used in index.php","Před změnou kódu store view se prosím ujistěte, že není použit v index.php"
"Before modifying the website code please make sure that it is not used in index.php","Před změnou kódu website se prosím ujistěte, že není použit v index.php"
"Block with name ""%s"" already exists","Blok s názvem ""%s"" už existuje"
"Can't retrieve request object","Nelze získat požadovaný objekt"
"Can't retrieve entity config: %s","Nemohu získat nastavení entity: %s"
"Cancel","Zrušit"
"Cannot Delete Email Template","Šablonu e-mailu nelze smazat"
"Code","Kód"
"Controller file was loaded but class does not exist","Soubor s kontrolerem byl načten, ale třída neexistuje"
"Cookie Domain","Doména cookie"
"Cookie Lifetime","Životnost Cookie"
"Cookie Path","Cesta Cookie"
"Countries options","Nastavení země"
"Create Store","Vytvořit obchod"
"Create Store View","Vytvořit Store View"
"Create Website","Vytvořit Website"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Plánování úloh) - všechny časy jsou v minutách"
"Current package name","jméno balíku"
"Custom Design","Uživatelský Vzhled"
"Custom admin URL","Vlastní URL administrace"
"Custom email 1","Vlastní email 1"
"Custom email 2","Vlastní email 2"
"Customer support","Podpora zákazníků"
"Database was successfuly backed up.","Databáze byla úspěšně zálohována."
"Date From","Datum Od"
"Date To","Datum Do"
"Date/time format ""%s"" is not supported.","Formát datum/čas ""%s"" není podporován."
"Debug","Ladění"
"Default","Výchozí"
