"-- Please select --","-- Prosím vyberte --"
"Allowed currencies","Povolené měny"
"Cannot retrieve rate from %s","Sazbu z %s nelze získat"
"Continue &raquo;","Pokračovat &raquo;"
"Country","Země"
"Country Api","Api země"
"Country and Format Type combination should be unique","Kombinace typu země a formátu musí být unikátní"
"Currency","Měna"
"Currency Options","Možnosti měny"
"Currency Setup","Nastavení měny"
"Currency Update Warnings","Varování aktualizace měny"
"Default display currency","Výchozí zobrazovaná měna"
"Directory","Adresář"
"Enabled","Aktivní"
"Error Email Recipient","Chyba e-mailového příjemce"
"Error Email Sender","Chyba e-mailového odesilatele"
"Error Email Template","Chyba v e-mailové šabloně"
"FATAL ERROR:","FATÁLNÍ CHYBA:"
"Frequency","Četnost"
"Installed Currencies","Instalované měny"
"Invalid Import Service Specified","Chybně vybraná importní služba"
"Invalid country code: %s","Neplatný kód země: %s"
"Invalid rates received","Obdrženy chybné sazby"
"Invalid target currency","Chybná cílová měna"
"List of countries","Seznam zemí"
"List of regions in specified country","Seznam regionů ve zvolené zemi"
"Region","Region"
"Region Api","Api regionu"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Naplánovaný import nastavení"
"Select Your Currency","Vyberte měnu"
"Service","Služba"
"Start Time","Doba startu"
"State/Province","Stát/provincie"
"Unable to initialize import model","Nelze inicializovat importní model"
"Undefined rate from ""%s-%s""","Nedefinovaná sazba od ""%s-%s"""
"WARNING:","VAROVÁNÍ:"
"Your current currency is: %s","Vaše aktuální měna je: %s"
"Currency will be used for all online payment transactions","Měna bude použita pro všechny online platební transakce"
"Remove space from currency sign","Odstranit mezeru ze symbolu měny"
