"Attempt to add an invalid object","Pokus o přidání neplatného objektu"
"Attribute '%s' used in configurable products.","Atribut '%s' použitý v konfigurovatelných produktech."
"Attribute used in configurable products.","Atribut se používá v konfigurovatelném produktu."
"Attribute with the same code","Atribut se stejným kódem"
"Data integrity: No header row found for attribute","Data integrity: Nenalezena hlavička pro atribut"
"Default option value is not defined","Výchozí hodnota možnosti není definována"
"Entity collection expected","Očekávána kolekce entit"
"Entity collections expected","Očekávána kolekce entit"
"Entity is not initialized","Entita není inicializována"
"Failed to load node %s from config.","Failed to load node %s from config."
"Frontend label is not defined","Jmenovka obchodu není definována"
"Invalid alias, already exists in joined attributes","Invalidní druhé jméno, již existuje v spojených atributech"
"Invalid attribute name: %s","Neplatný název atributu: %s"
"Invalid attribute requested: %s","Požadovaný neplatný atribut: %s"
"Invalid attribute type","Neplatný typ atributu"
"Invalid character encountered in increment ID: %s","Neplatný znak ve zvyšovaném ID: %s"
"Invalid data object key","Chybný klíč objektu"
"Invalid entity specified","Chybně specifikovaná entita"
"Invalid entity supplied","Chybně dodaná entita"
"Invalid entity supplied: %s","Chybně dodaná entita: %s"
"Invalid entity type","Chybný typ entity"
"Invalid entity_id, skipping the record","Invalidní entity_id, záznam přeskočen"
"Invalid entity_type specified: %s","Specifikován chybný entity_type: %"
"Invalid foreign key","Neplatný cizí klíč"
"Invalid joined fields","Chybně spojená pole"
"Invalid store specified","Chybně specifikovaný obchod"
"Joined field or attribute expression with this alias is already declared","Spojená pole nebo vlastnost s tímto aliasem jsou již deklarována"
"Joined field with this alias (%s) is already declared","Spojené pole s tímto aliasem (%s) je již deklarováno"
"Joined field with this alias is already declared","Spojené pole s tímto aliasem je již deklarováno"
"Loaded %d records","Nahráno záznamů: %d"
"No","Ne"
"No options found in config node %s","Nenalezeny žádné konfigurační volby pro uzel: %s"
"Problem loading a record, aborting. Error: %s","Chyba při nahrávání záznamů, přerušuji. Chyba: %s"
"Problem loading the collection, aborting. Error: %s","Problém při nahrávání kolekce, přerušuji. Chyba: %s"
"Problem saving a record, aborting. Error: ","Problém při ukládání záznamu, přerušuji. Chyba:"
"Problem saving the collection, aborting. Error: %s","Problém při ukládání kolekce, přerušuji. Chyba: %s"
"Saved ","Uloženo "
"Scope must not be changed, because the attribute is used in configurable products.","Rozsah nesmí být měněn, protože vlastnost je používána v konfigurovatelných produktech."
"Unknown parameter","Neznámý parametr"
"Valid store_id is expected!","Je očekáváno platné store_id!"
"Value of attribute ""%s"" must be unique","Hodnota atributu ""%s"" musí být unikátní"
"Wrong attribute ID","Špatné id atributu"
"Wrong attribute group ID","Špatné id skupiny atributů"
"Wrong attribute set ID","Špatné id kolekce atributů "
"Wrong entity ID","Špatné ID entity"
"Yes","Ano"
