" The customer doesn't exist in the system anymore","Zákazník již v systému neexistuje"
"""%s"" coupon code is not valid.","kód kupónu ""%s"" není správný."
"%s order(s) successfully canceled","objednávka %s byla úspěšně zrušena."
"%s order(s) successfully put on hold","objednávka %s byla úspěšně pozastavena."
"%s order(s) successfully released from holding status","Objednávka %s byla znovu obnovena po pozastavení"
"Total Shipping Charges","(Celkové náklady na dopravu %s)"
"* - Enter custom price excluding tax","* - zadejte zákaznickou cenu bez daně"
"* - Enter custom price including tax","* - zadejte zákaznickou cenu obsahují daň"
"About This Order:","O objednávce:"
"About Your Order","O Vaší objednávce"
"Account Information","Informace o účtu"
"Action","Událost"
"Actions","Události"
"Add","Přidat"
"Add New Address","Přidat novou adresu"
"Add Order Comments","Přidat komentář k objednávce"
"Add Products","Přidat produkty"
"Add Selected Product(s) to Option","Přidat označené produkty do možností"
"Add Selected Product(s) to Order","Přidat označené do objednávky"
"Add To Order","Přidat do objednávky"
"Add Tracking Number","Přidat číslo na sledování zakázky"
"Add a gift message for <strong>each gift item</strong>","Přidat přání ke <strong>každé položce dárku</strong>"
"Add a gift message for the <strong>entire order</strong>","Přidat přání k <strong>celé objednávce</strong>"
"Add comment to order","Přidat komentář k objednávce"
"Add new comment to shipment","Přidat komentář k dopravě"
"Add new tracking number","Přidat číslo na sledování zakázky"
"Add to Cart","Přidat do košíku"
"Address","Adresa"
"Adjustment Fee","Úprava poplatků"
"Adjustment Fee:","Úprava poplatků:"
"Adjustment Refund","Upravit splátku"
"Adjustment Refund:","Upravit splátku:"
"Allow Reorder","Povolit objednání znovu"
"Amount","Množství"
"Append Comments","Přidat komentáře"
"Apply","Použít"
"Apply Coupon Code","Použít kód kupónu"
"Are you sure you want to cancel this order?","Jste si jisti, že chcete zrušit tuto objednávku?"
"Are you sure?","Jste si jisti?"
"Are you sure? This order will be cancelled and a new one will be created instead","Jste si jisti? Tato objednávka bude zrušena a místo ní bude vytvořena nová"
"Back to My Orders","Zpět k mým objednávkám"
"Backordered","Nevyřízená objednávka"
"Bill to First name","Fakturace na jméno"
"Bill to Last name","Fakturace na příjmení"
"Bill to Name","Fakturace na jméno"
"Billing Address","Fakturační adresa"
"Can not add order history.","Nelze přidat historii objednávky."
"Can not create block ""%s""","Nelze vytvořit blok ""%s"""
"Can not do invoice for order.","K objednávce nelze vytvořit fakturu."
"Can not do shipment for order.","Nelze vyrobit dodací list pro objednávku."
"Can not register existing creditmemo","Není možné zaregistrovat existující creditmemo"
"Can not register existing invoice","Nelze registrovat existující fakturu"
"Can not register existing shipment","Nelze registrovat existující dopravu"
"Can't get order instance","Objednávku nelze zobrazit"
"Cancel","Zrušit"
"Cancel invoice","Zrušit fakturu"
"Cancel order","Zrušit objednávku"
"Canceled","Zrušené"
"Cannot create an empty shipment.","Nelze vyrobit prázdnou zásilku."
"Capture","Zachycené"
"Capture Amount","Zachycené množství"
"Capture Offline","Offline zachycené"
"Capture Online","Online zachycené"
"Capture invoice","Zachycená faktura"
"Carrier","Přepravce"
"Change Status","Změnit stav"
"Change status, add comments","Změnit stav, přidat komentář"
"Checkout totals sort order","Řazení celkového součtu"
"Click to change shipping method","Klikněte pro změnu způsobu doručení"
"Closed","Uzavřeno"
"Comment","Komentář"
"Comment Text","Text komentáře"
"Comments","Komentáře"
"Comments History","Historie komentářů"
"Complete","Hotovo"
"Country","Země"
"Coupons","Kupóny"
"Create","Vytvořit"
"Create New Customer","Vytvořit nového zákazníka"
"Create New Order","Vytvořit novou objednávku"
"Create New Order for %s","Vytvořit novou objednávku pro: %s"
"Create New Order for %s in %s","Vytvořit novou objednávku pro: %s v %s"
"Create New Order for New Customer","Vytvořit novou objednávku pro nového zákazníka"
"Create New Order for New Customer in %s","Vytvořit novou objednávku pro nového zákazníka v %s"
"Create Shipment","Vytvořit zásilku"
"Create new invoice for order","Vytvořit novou fakturu pro objednávku"
"Create new shipment for order","Vytvořit novou zásilku pro objednávku"
"Created At","Datum dobropisu"
"Credit Memo","Dobropis"
"Credit Memo Comment Email Sender","E-mail odesilatele komentáře k dobropisu"
"Credit Memo Comment Email Template","Šablona emailu komentáře dobropisu"
"Credit Memo Comment Email Template for Guest","Šablona emailu komentáře k dobropisu pro návštěvníky"
"Credit Memo Comments","Komentáře dobropisu"
"Credit Memo Email Sender","E-mail odesilatele dobropisu"
"Credit Memo Email Template","Šablona e-mailu dobropisu"
"Credit Memo Email Template for Guest","Šablona e-mailu dobropisu pro návštěvníky"
"Credit Memo Update","Aktualizovat dobropis"
"Credit Memo Update for Guest","Aktualizace dobropisu pro návštěvníky"
"Credit Memo email not sent","E-mail dobropisu nebyl odeslán"
"Credit Memo email sent","E-mail dobropisu odeslán"
"Credit Memos","Dobropisy"
"Creditmemo","Dobropis"
"Custom Options","Uživatelská nastavení"
"Custom Value","Uživatelská hodnota"
"Customer Group","Skupina zákazníků"
"Customer Name","Jméno zákazníka"
"Date","Datum"
"Date Shipped","Datum odeslání"
"Date of Birth","Datum narození"
"Delete","Smazat"
"Description message","Poznámka"
"Discount","Sleva"
"Discount ","Sleva "
"Discount (%s)","Sleva (%s)"
"Discount :","Sleva:"
"Discount Amount","Množstevní sleva"
"Document","Doklad"
"Don't specified PDF object","Nespecifikovaný ""PDF object"""
"Don't specified PDF page object","Nespecifikovaný ""PDF page object"""
"Don't specified item object","Nespecifikovaný ""item object"""
"Don't specified order object","Nespecifikovaný ""order object"""
"Don't specified source object","Nespecifikovaný ""source object"""
"Edit","Upravit"
"Edit Order #%s","Upravit objednávku %s"
"Email","E-mail"
"Email Copy of Credit Memo","Poslat kopii dobropisu na e-mail"
"Email Copy of Invoice","Kopii faktury na e-mail"
"Email Copy of Shipment","Kopii zásilky na e-mail"
"Email Order Confirmation","E-mail potvrzující objednávku"
"Enable","Povolený"
"Error to show in shopping cart","Chyby zobrazené v nákupním košíku"
"Excl. Tax","Bez daně"
"From","Od"
"From Name","Od jméno"
"From:","Od:"
"G.T. (Base)","Celkový součet (základ)"
"G.T. (Purchased)","Celkový součet (zakoupený)"
"Get shipping methods and rates","Získat způsoby doručení a sazby"
"Gift","Dárek"
"Gift Certificate","Dárkový certifikát"
"Gift Message","Přání"
"Gift Message for Entire Order","Přání přiložené k celé objednávce"
"Gift Message for this Order","Přání k této objednávce"
"Grand Total","Celkový součet"
"Grand Total to be charged","Celkově účtovaný součet"
"Grand Total:","Celkem:"
"Guest","Návštěvník"
"Hold","Pozastavit"
"Hold action is not available","Akce pozastavit není dostupná"
"Hold order","Pozastavit objednávku"
"ID","ID"
"If empty, the default description above will be used","Pokud bude ponecháno prázdné, bude použit defaultní popis nad tímto."
"If empty, the default error above will be used","Pokud bude ponecháno prázdné, bude použita defaultní chyba nad touto."
"Incl. Tax","S daní"
"Information","Informace"
"Invalid carrier specified.","Zvolen neplatný dopravce"
"Invalid item option format","Neplatný formát ""item option"""
"Invalid qty to invoice item ""%s""","Chybné množství položky ""%s"" ve faktuře"
"Invalid qty to refund item ""%s""","Neplatné množství položky ""%s"""
"Invalid qty to ship for item ""%s""","Neplatné množství pro doručení položky ""%s"""
"Invalid renderer model","Neplatný ""renderer model"""
"Invalid request for adding product to quote","Neplatný požadavek pro přidání produktu do ""quote"""
"Invoice","Faktura"
"Invoice #","Faktura č."
"Invoice #","Faktura č."
"Invoice #%s","Faktura %s"
"Invoice Comment Email Sender","E-mail odesilatele komentáře faktury"
"Invoice Comment Email Template","Šablona e-mailu komentáře faktury"
"Invoice Comment Email Template for Guest","Šablona e-mailu komentáře faktury pro návštěvníky"
"Invoice Comments","Poznámky k faktuře"
"Invoice Date","Datum faktury"
"Invoice Email Sender","Odesilatel e-mailové faktury"
"Invoice Email Template","Šablona e-mailové faktury"
"Invoice Email Template for Guest","Šablona e-mailvé faktury pro návštěvníky"
"Invoice Update","Aktualizace faktury"
"Invoice Update for Guest","Aktualizace faktury pro návštěvníky"
"Invoice and Packing Slip Design","Logo a adresa odesilatele"
"Invoice can not be canceled","Faktura nemůže být zrušena."
"Invoice can not be captured","Faktura nemůže být zachycena"
"Invoice can not be void","Faktura nemůže být nulová"
"Invoice cancel problem","Chyba při rušení faktury"
"Invoice capture problem","Chyba při zachytávání faktury"
"Invoice email not sent","E-mailová faktura nebyla odeslána"
"Invoice email sent","E-mailová faktura odeslána"
"Invoice void problem","Problém nulové faktury"
"Invoiced","Fakturováno"
"Invoices","Faktury"
"Item","Položka"
"Item option with code %s already exist","Item option s kódem %s již existuje"
"Item options declare error","Nastala chyba možností položky"
"Item qty declare error","Zvoleno chybné množství"
"Items Invoiced","Fakturované položky"
"Items Ordered","Objednané položky"
"Items Refunded","Vrácené položky"
"Items Shipped","Odeslané položky"
"Items options declare error.","Nastala chyba možností položek."
"Items to Invoice","Položky k fakturaci"
"Items to Refund","Položky k vrácení"
"Items to Ship","Položky k doručení"
"Last ordered items","Poslední objednané položky"
"Link to the new order","Odkaz na novou objednávku"
"Link to the previous order","Odkaz na předchozí objednávku"
"Logo (200x50)","Logo (200x50)"
"Message","Zpráva"
"Message:","Zpráva:"
"Minimum amount","Minimální množství"
"Minimum order amount","Minimální objednatelné množství"
"Mixed","Smíšené"
"Multi-address description message","Multi-address description message"
"Multi-address error to show in shopping cart","Multi-address error to show in shopping cart"
"My Orders","Moje objednávky"
"My Orders - Details","Moje objednávky – detaily"
"Name","Název"
"New","New"
"New Credit Memo","Nový dobropis"
"New Credit Memo for Guest","Nový dobropis pro návštěvníka"
"New Invoice","Nová faktura"
"New Invoice for Guest","Nová faktura pro návštěvníka"
"New Order","Nová objednávka"
"New Order Confirmation Email Sender","Nový odesilatel potvrzujícího objednávkového e-mailu"
"New Order Confirmation Template","Nová šablona potvrzení objednávky"
"New Order Confirmation Template for Guest","Nová šablona potvrzení objednávky pro návštěvníka"
"New Order RSS","Nová objednávka RSS"
"New Order for Guest","Nová objednávka pro návštěvníka"
"New Shipment","Nová zásilka"
"New Shipment for Guest","Nová zásilka pro návštěvníka"
"New Status","Nový stav"
"Newsletter Subscription","Odběr zpravodaje"
"No Payment Methods","Žádné způsoby platby"
"No detail for number ""%s""","Žádné podrobnosti pro číslo ""%s"""
"No items","Žádné položky"
"Not Capture","Nezachycené"
"Notify Customer","Upozornit zákazníka"
"Number","Číslo"
"On Hold","Pozastavit"
"Order","Objednávka"
"Order #","Objednávka č."
"Order #","Objednávka č."
"Order # %s","Objednávka č. %s"
"Order #%s","Objednávka č.%s"
"Order #%s - %s","Objednávka č.%s - <small><em>%s</em></small>"
"Order API","API objednávky"
"Order Comment","Komentář k objednávce"
"Order Comment Email Sender","E-mail odesilatele komentáře k objednávce"
"Order Comment Email Template","Šablona e-mailu komentáře objednávky"
"Order Comment Email Template for Guest","Šablona e-mailu komentáře objednávky pro návštěvníka"
"Order Comments","Komentář k objednávce"
"Order Credit Memos","Dobropisy objednávky"
"Order Currency:","Měna objednávky:"
"Order Date","Datum objednávky"
"Order Date: ","Datum objednávky: "
"Order Date: %s","<p><strong>Datum objednávky:</strong> %s</p>"
"Order Details","Detaily objednávky"
"Order Grand Total","Objednávka celkem"
"Order History","Historie objednávky"
"Order Information","Informace o objednávce"
"Order Invoices","Faktury objednávky"
"Order Shipments","Zásilky objednávky"
"Order Status","Stav objednávky"
"Order Subtotal","Součet objednávky"
"Order Subtotal:","Součet objednávky:"
"Order Total","Objednávka celkem"
"Order Totals","Objednávka celkem"
"Order Update","Aktualizace objednávky"
"Order Update for Guest","Aktualizace objednávky pro návštěvníka"
"Order View","Objednávky"
"Order invoice","Faktura objednávky"
"Order saving error: %s","Chyba při ukládání objednávky: %s"
"Order shipments","Zásilky objednávky"
"Order was not cancelled.","Objednávka nebyla zrušena."
"Order was not put on hold.","Objednávka nemůže být pozastavena."
"Order was not unholded.","Objednávka nebyla obnovena."
"Order was placed using %s","Objednávka byla vystavena s použitím %s"
"Order was successfully cancelled.","Objednávka byla úspěšně zrušena."
"Order was successfully put on hold.","Objednávka byla úspěšně pozastavena."
"Order was successfully released from holding status.","Objednávka byla úspěšně obnovena."
"Ordered","Objednáno"
"Orders","Objednávky"
"PDF Credit Memos","PDF Dobropis"
"PDF Invoices","PDF Faktury"
"PDF Packingslips","PDF průvodka"
"Packingslip #","Průvodka č."
"Paid","Zaplacený"
"Paid Amount","Zaplaceno"
"Partial","Částečně"
"Payment Failed","Neúspěšné platby"
"Payment Information","Platební údaje"
"Payment Method","Způsob platby"
"Payment Method:","Způsob platby:"
"Pending","Čekající"
"Placed from IP","Uskutečněno z IP"
"Please select a customer","Vyberte zákazníka"
"Please select a store","Vyberte obchod"
"Please select products to add","Vyberte produkt k přidání"
"Price","Cena"
"Print","Vytisknout"
"Print All","Vytisknout vše"
"Print All Invoices","Vytisknout všechny faktury"
"Print All Refunds","Vytisknout všechny platby"
"Print All Shipments","Vytisknout všechny zásilky"
"Print Credit Memos","Vytisknout dobropis"
"Print Invoice","Vytisknout fakturu"
"Print Invoices","Vytisknout faktury"
"Print Order","Vytisknout objednávku"
"Print Order # %s","Vytisknout objednávku č. %s"
"Print Packingslips","Vytisknout průvodky"
"Print Refund","Vytisknout platbu"
"Print Shipment","Vytisknout zásilku"
"Processing","Zpracování"
"Processing data problem","Problém při zpracování dat"
"Product","Produkt"
"Product Name","Název produktu"
"Products","Produkty"
"Products in Compare List","Produkty v seznamu porovnávání"
"Purchased From","Koupeno od"
"Purchased On","Datum objednávky"
"Purchased from (store)","Koupeno v (Store View) "
"QTY","Množství"
"Qty","Množství"
"Qty Invoiced","Fakturované množství"
"Qty Ordered","Objednané množství"
"Qty Shipped","Odeslané množství"
"Qty To Add","Množství k přidání"
"Qty to Invoice","Množství k fakturaci"
"Recent Orders","Poslední objednávky"
"Recently Compared Products","Nedávno porovnávané"
"Recently Viewed","Nedávno prohlížené"
"Recently Viewed Products","Nedávno zobrazené produkty"
"Refresh","Obnovit"
"Refund","Splátka"
"Refund #","Splátka č."
"Refund #%s","Splátka č. %s"
"Refund Amount","Ke splacení"
"Refund Offline","Offline splátky"
"Refund Totals","Splátky celkem"
"Refunded","Splacený"
"Refunds","Splátky"
"Remove","Odebrat"
"Remove Coupon Code","Odebrat kupón"
"Remove tracking number","Odebrat sledovací číslo"
"Reorder","Objednat znovu"
"Retrieve invoice information","Získat informace o faktuře"
"Retrieve list of invoices by filters","Získat seznam faktur pomocí filtrů"
"Retrieve list of orders by filters","Získat seznam objednávek pomocí filtrů"
"Retrieve list of shipments by filters","Získat seznam zásilek pomocí filtrů"
"Retrieve order information","Získat informace o objednávce"
"Retrieve shipment information","Získat informace o zásilce"
"Returned","Vrácené"
"Row Total","Celkem řádků"
"SHIP TO:","POSLAT NA:"
"SKU","SKU"
"SOLD TO:","PRODAT:"
"Sales","Prodeje"
"Sales Emails","E-maily prodeje"
"Same As Billing Address","Stejná jako fakturační adresa"
"Save in address book","Uložit v adresáři"
"Select from existing customer addresses:","Vybrat z existujících zákaznických adres"
"Send Credit Memo Comment Email Copy To","Odeslat kopii komentáře dobropisu na e-mail"
"Send Credit Memo Email Copy To","Odeslat kopii dobropisu na e-mail"
"Send Invoice Comment Email Copy To","Poslat kopii komentáře k faktuře na e-mail"
"Send Invoice Email Copy To","Poslat kopii faktury na e-mail"
"Send Order Comment Email Copy To","Poslat kopii komentáře objednávky na e-mail"
"Send Order Email Copy To","Poslat kopii objednávky na e-mail"
"Send Shipment Comment Email Copy To","Poslat kopii komentáře zásilky na e-mail"
"Send Shipment Email Copy To","Poslat kopii zásilky na e-mail"
"Send Tracking Information","Poslat sledovací informace"
"Ship","Doručit"
"Ship to","Poslat na"
"Ship to First name","Doručit na křestní jméno"
"Ship to Last name","Doručit na příjmení"
"Ship to Name","Doručit na jméno"
"Shipment","Zásilka"
"Shipment #","Zásilka č."
"Shipment #%s","Zásilka č.%s"
"Shipment Comment Email Sender","Odesílatel e-mailu komentáře k zásilce"
"Shipment Comment Email Template","Šablona e-mailu komentáře k zásilce"
"Shipment Comment Email Template for Guest","Šablona e-mailu komentáře k zásilce pro návštěvníka"
"Shipment Comments","Komentář k zásilce"
"Shipment Email Sender","Odesílatel zásilkového e-mailu"
"Shipment Email Template","Šablona zásilkového e-mailu"
"Shipment Email Template for Guest","Šablona zásilkového e-mailu pro návštěvníka"
"Shipment Update","Aktualizace zásilky"
"Shipment Update for Guest","Aktualizace zásilky pro návštěvníka"
"Shipment email not sent","E-mail zásilky nebyl odeslán"
"Shipment email sent","E-mail zásilky byl odeslán"
"Shipments","Zásilky"
"Shipped","Odesláno"
"Shipped By","Posláno"
"Shipping","Přeprava"
"Shipping & Handling","Poštovné a balné"
"Shipping & Handling:","Poštovné a balné:"
