"Add Recipient","Přidat příjemce"
"Allow for Guests","Dovolit pro návštěvníky"
"Email Address","E-mailová adresa"
"Email Address:","E-mailová adresa:"
"Email templates","Šablony e-mailu"
"Email to a Friend","Poslat známému"
"Email:","E-mail:"
"Enabled","Aktivní"
"Limit Sending By","Omezené odesílání na"
"Link to a friend was sent.","Vašemu známému byl odeslán odkaz."
"Max Products Sent in 1 Hour","Maximální počet produktů odeslatelných za 1 hodinu"
"Max Recipients","Maximálně příjemců"
"Maximum %d email addresses allowed.","Maximální povolené množství e-mailů: %d."
"Message:","Zpráva:"
"Name","Jméno"
"Name:","Jméno:"
"Recipient:","Příjemce:"
"Remove Email","Odebrat e-mail"
"Select email template","Vybrat šablonu e-mailu"
"Send email","Poslat e-mail"
"Send product to a friend","Poslat produkt známému"
"Sender:","Odesilatel:"
"Some emails was not sent","Některé e-maily nebyly odeslány"
"Some problems with data.","Nastaly problémy s některými daty."
"You cannot email this product to a friend","Na tento produkt nemůžete poslat upozornění známému"
"You cannot send more than %d times in an hour","Nemůžete odeslat více doporučení jak %d za hodinu"
"Limit Sending By","Odesílání zabezpečeno pomocí"
