"was not delivered nor scanned","nebylo doručeno nebo naskenováno"
"1 Day Freight","1 Day Freight"
"2 Day Freight","2 Day Freight"
"2Day","2Day"
"3 Day Freight","3 Day Freight"
"Access ID","Přístupové ID"
"Access license number","Přístupové číslo licence"
"Account ID","ID účtu"
"Account number","Číslo účtu"
"All Services","Všechny služby"
"Allowed methods","Povolené způsoby dodání"
"Bound Printed Matter","Okraje tisku"
"Business Service Center","Centrum podnikatelských služeb"
"Calculate Handling Fee","Vypočítat balné"
"Cannot retrieve shipping rates","Nemohu získat sazby doručení"
"Container","Obal"
"DHL","DHL"
"Delivered","Dodaný"
"Destination type","Místo určení"
"Displayed Error Message","Upozornění na chybu"
"Drop Box","Poštovní schránka"
"Dropoff","Dropoff"
"Empty response","Žádná odezva"
"Enabled","Aktivní"
"Error #%s : %s (%s)","Chyba č.%s: %s (%s)"
"Error #%s: %s","Chyba č.%s: %s"
"Europe First Priority","Europe First Priority"
"Express","Express"
"Express 10:30 AM","Express 10:30 dopoledne"
"Express Mail","Express Mail"
"Express Saturday","Express Saturday"
"Express Saver","Express Saver"
"FedEx","FedEx"
"FedEx 10kg Box","FedEx 10kg Box"
"FedEx 25kg Box","FedEx 25kg Box"
"FedEx Box","FedEx Box"
"FedEx Envelope","FedEx Envelope"
"FedEx Pak","FedEx Pak"
"FedEx Tube","FedEx Tube"
"First Overnight","First Overnight"
"First-Class","First-Class"
"Flat","Flat"
"Flat Rate Box","Flat Rate Box"
"Flat Rate Envelope","Flat Rate Envelope"
"Free method","Způsob dodání zdarma"
"Free shipping with minimum order amount","Doručení zdarma pro minimální množství objednávky"
"Gateway URL","URL brána"
"Gateway XML URL","XML URL brána"
"Ground","Ground"
"Handling Applied","Balné použito"
"Handling fee","Balné"
"Home Delivery","Home Delivery"
"International Economy","International Economy"
"International Express","International Express"
"International First","International First"
"International Priority","International Priority"
"Intl Economy Freight","Intl Economy Freight"
"Intl Priority Freight","Intl Priority Freight"
"Invalid DHL XML code for type %s: %s","Chybný DHL XML kód pro %s: %s"
"Invalid DHL XML code type: %s","Chybný DHL XML kód pro: %s"
"Invalid FedEx XML code for type %s: %s","Chybný FedEx XML kód pro %s: %s"
"Invalid FedEx XML code type: %s","Chybný FedEx XML kód pro: %s"
"Invalid UPS CGI code for type %s: %s","Chybný UPS CGI kód pro %s: %s"
"Invalid UPS CGI code type: %s","Chybný UPS CGI kód pro: %s"
"Invalid USPS XML code for type %s: %s","Chybný USPS XML kód pro %s: %s"
"Invalid USPS XML code type: %s","Chybný USPS XML kód pro: %s"
"Large","Large"
"Letter","Letter"
"Library","Knihovna"
"Machinable","Strojově zpracovatelný"
"Maximum Package Weight (Please consult your shipping carrier for maximum supported shipping weight)","Maximální váha balíku (prosím konzultujte se svým přepravcem)."
"Media Mail","Media Mail"
"Minimum order amount for free shipping","Minimální objednávka pro doručení zdarma"
"Next Afternoon","Next Afternoon"
"No","Ne"
"Non-rectangular","Nepravoúhlý tvar"
"Order","Objednávka"
"Origin of the shipment","Počátek doručení"
"Oversize","Nadměrná velikost"
"Package","Balík"
"Package Description","Popis balíku"
"Packaging","Balení"
"Parcel","Parcel"
"Parcel Post","Parcel Post"
"Password","Heslo"
"Pickup method","Způsob dodání"
"Please enter the package weight","Prosím zadejte hmotnost balíku"
"Priority Mail","Priority Mail"
"Priority Overnight","Priority Overnight"
"Receiver","Příjemce"
"Rectangular","Pravoúhlý"
"Regular","Pravidelný"
"Regular Pickup","Pravidelná dodávka"
"Request Courier","Požadavek kurýra"
"Response is in the wrong format","Odpověď je ve špatném formátu"
"Second Day Service","Second Day Service"
"Sender","Odesilatel"
"Ship to Specific countries","Doručení do vybrané země"
"Ship to applicable countries","Doručení do vhodné země"
"Shipment Dutiable","Zásilka podléhá clu"
"Shipment Duty Payment Type","Typ proclení zásilky"
"Shipment is not available.","Zásilka není dostupná."
"Shipment picked up","Dodávka zásilky"
"Shipment type","Typ zásilky"
"Shipping key","Dodací klíč"
"Shipping key (International)","Dodací klíč (Mezinárodní)"
"Show method if not applicable","Ukázat způsob, i když není použitelný"
"Size","Velikost"
"Sort order","Pořadí objednávek"
"Standard Overnight","Standard Overnight"
"Station","Stanice"
"There is no available method for selected shipping address.","Není dostupný žádný způsob doručení pro vybranou adresu."
"Third Party","Třetí strana"
"Title","Nadpis"
"Tracking XML URL","Sledovací XML URL"
"UPS","UPS"
"UPS type","typ UPS"
"USPS","USPS"
"Unable to retrieve tracking","Nelze sledovat zásilku"
"United Parcel Service","United Parcel Service"
"United Parcel Service XML","United Parcel Service XML"
"Unknown error","Neznámá chyba"
"User ID","ID uživatele"
"UserId","ID uživatele"
"Variable","Proměnná"
"Weight Unit","Jednotky hmotnosti"
"Yes","Ano"
"Your Packaging","Vaše balení"
"Additional Protection Configuration Value","Částka připojištění"
"Additional Protection Enabled","Připojištění povoleno"
"Additional Protection Value","Připojistění"
"Additional Protection Value Rounding Method","Způsob zaokrouhlování připojištění"
"Default Package Height","Výchozí výška zásilky"
"Default Package Length","Výchozí délka zásilky"
"Default Package Width","Výchozí šířka zásilky"
"Domestic Shipment Days","Vnitrostátní doručovací dny"
"International Shipment Days","Mezinárodní doručovací dny"
"Shipment Contains Hazardous Materials","Zásilka obsahuje nebezpečný materiál"
